Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
87,De'Aaron Fox,28,SAS,PG,38,38,1239,18.0,.587,.388,.267,2.2,11.3,6.8,28.6,1.8,0.8,12.9,25.6,1.9,1.6,3.4,.133,2.0,0.5,2.5,1.4,,foxde01
88,Jaylen Wells,22,MEM,SG,46,46,1238,9.9,.524,.514,.256,3.8,10.0,6.9,8.9,1.5,0.3,9.4,18.9,0.1,1.0,1.1,.043,-3.1,-0.7,-3.7,-0.6,,wellsja01
89,Noah Clowney,21,BRK,PF,43,37,1237,11.3,.548,.637,.366,3.8,13.8,8.6,10.1,1.3,2.6,12.9,20.9,0.0,0.8,0.8,.031,-2.2,-1.1,-3.2,-0.4,,clownno01
90,Donovan Clingan,21,POR,C,45,45,1231,19.2,.598,.360,.296,17.8,26.1,21.9,10.2,0.8,4.2,10.4,15.5,2.9,1.6,4.5,.175,1.8,-0.3,1.6,1.1,,clingdo01
91,Stephen Curry,37,GSW,PG,39,39,1222,22.6,.636,.602,.274,1.4,11.1,6.2,27.2,1.7,1.2,11.7,32.5,2.8,1.3,4.1,.161,6.3,-0.9,5.4,2.3,,curryst01
92,Andrew Nembhard,26,IND,PG,38,38,1217,15.8,.562,.372,.301,1.4,8.6,4.9,36.8,1.3,0.4,13.3,23.5,1.4,0.7,2.1,.082,1.0,-1.8,-0.8,0.4,,nembhan01
93,Cason Wallace,22,OKC,SG,46,36,1212,10.6,.528,.565,.110,3.4,8.7,6.2,9.7,3.7,0.9,11.3,13.0,0.2,2.5,2.7,.108,-2.7,3.1,0.4,0.7,,wallaca01
94,John Collins,28,LAC,PF,44,35,1208,15.9,.657,.361,.215,5.8,14.5,10.3,5.3,1.6,2.9,11.6,18.7,1.8,1.0,2.8,.112,0.2,-0.3,-0.2,0.6,,collijo01
95,Sion James,23,CHO,SG,49,18,1204,7.9,.540,.590,.316,2.6,13.1,8.0,10.2,1.1,1.3,13.6,10.8,0.7,0.9,1.6,.062,-3.2,0.4,-2.9,-0.3,,jamessi01
96,Bruce Brown,29,DEN,SG,49,2,1203,10.5,.537,.228,.228,5.6,13.0,9.4,11.9,2.0,1.0,13.6,14.3,0.6,1.0,1.6,.062,-2.8,-0.2,-3.0,-0.3,,brownbr01
97,Deandre Ayton,27,LAL,C,42,42,1190,18.6,.676,.000,.189,10.7,24.2,17.7,4.8,1.1,3.3,12.6,17.6,2.2,1.2,3.4,.137,0.0,-1.2,-1.1,0.3,,aytonde01
98,Kyshawn George,22,WAS,SF,38,38,1190,14.0,.563,.462,.214,3.3,16.3,9.8,24.0,1.8,2.6,17.4,22.5,0.2,0.7,0.9,.034,-0.7,-0.3,-1.0,0.3,,georgky01
99,Jimmy Butler,36,GSW,SF,38,38,1182,23.4,.646,.184,.621,8.1,11.6,9.8,24.1,2.2,0.6,9.3,23.1,4.7,1.3,6.0,.244,4.9,0.6,5.5,2.3,,butleji01
100,Stephon Castle,21,SAS,PG,38,38,1179,15.4,.552,.312,.498,4.1,13.1,8.7,32.4,2.0,0.8,18.7,25.1,0.6,1.6,2.2,.091,-0.6,0.7,0.1,0.6,,castlst01
101,Moses Moody,23,GSW,SG,48,37,1178,13.0,.589,.660,.188,3.9,10.6,7.2,8.5,1.8,2.3,8.5,17.7,1.1,1.3,2.4,.098,0.0,-0.1,-0.2,0.6,,moodymo01
